X,CH1,Start,Increment,
Sequence,Volt,-1.200000e-03,2.000000e-06
0,6.40e+00,
1,6.24e+00,
2,6.24e+00,
3,6.32e+00,
4,6.24e+00,
5,6.48e+00,
6,6.24e+00,
7,6.48e+00,
8,6.24e+00,
9,6.48e+00,
10,6.48e+00,
11,6.24e+00,
12,6.40e+00,
13,6.32e+00,
14,6.40e+00,
15,6.32e+00,
16,6.40e+00,
17,6.32e+00,
18,6.40e+00,
19,6.32e+00,
20,6.40e+00,
21,6.32e+00,
22,6.40e+00,
23,6.32e+00,
24,6.40e+00,
25,6.32e+00,
26,6.40e+00,
27,6.32e+00,
28,6.32e+00,
29,6.56e+00,
30,6.32e+00,
31,6.56e+00,
32,6.56e+00,
33,6.32e+00,
34,6.56e+00,
35,6.32e+00,
36,6.56e+00,
37,6.32e+00,
38,6.56e+00,
39,6.32e+00,
40,6.32e+00,
41,6.56e+00,
42,6.40e+00,
43,6.56e+00,
44,6.40e+00,
45,6.56e+00,
46,6.40e+00,
47,6.56e+00,
48,6.40e+00,
49,6.56e+00,
50,6.40e+00,
51,6.48e+00,
52,6.40e+00,
53,6.56e+00,
54,6.48e+00,
55,6.40e+00,
56,6.40e+00,
57,6.48e+00,
58,6.48e+00,
59,6.32e+00,
60,6.40e+00,
61,6.48e+00,
62,6.40e+00,
63,6.48e+00,
64,6.40e+00,
65,6.48e+00,
66,6.48e+00,
67,6.40e+00,
68,6.48e+00,
69,6.40e+00,
70,6.48e+00,
71,6.40e+00,
72,6.48e+00,
73,6.40e+00,
74,6.48e+00,
75,6.16e+00,
76,6.40e+00,
77,5.20e+00,
78,5.28e+00,
79,4.24e+00,
80,4.24e+00,
81,3.28e+00,
82,3.36e+00,
83,2.48e+00,
84,2.48e+00,
85,1.68e+00,
86,1.76e+00,
87,9.60e-01,
88,1.04e+00,
89,3.20e-01,
90,4.00e-01,
91,-3.20e-01,
92,-1.60e-01,
93,-8.00e-01,
94,-7.20e-01,
95,-1.28e+00,
96,-1.20e+00,
97,-1.76e+00,
98,-1.60e+00,
99,-2.16e+00,
100,-2.00e+00,
101,-2.48e+00,
102,-2.40e+00,
103,-2.88e+00,
104,-2.80e+00,
105,-3.12e+00,
106,-3.12e+00,
107,-3.52e+00,
108,-3.36e+00,
109,-3.76e+00,
110,-3.60e+00,
111,-4.00e+00,
112,-3.84e+00,
113,-4.24e+00,
114,-4.08e+00,
115,-4.40e+00,
116,-4.24e+00,
117,-4.56e+00,
118,-4.40e+00,
119,-4.72e+00,
120,-4.56e+00,
121,-4.88e+00,
122,-4.72e+00,
123,-5.04e+00,
124,-4.88e+00,
125,-5.20e+00,
126,-5.12e+00,
127,-5.28e+00,
128,-5.20e+00,
129,-5.36e+00,
130,-5.28e+00,
131,-5.60e+00,
132,-5.36e+00,
133,-5.60e+00,
134,-5.52e+00,
135,-5.68e+00,
136,-5.60e+00,
137,-5.84e+00,
138,-5.60e+00,
139,-5.84e+00,
140,-5.68e+00,
141,-5.92e+00,
142,-5.76e+00,
143,-6.00e+00,
144,-5.84e+00,
145,-6.08e+00,
146,-5.84e+00,
147,-6.08e+00,
148,-5.92e+00,
149,-6.16e+00,
150,-6.16e+00,
151,-6.00e+00,
152,-6.00e+00,
153,-6.24e+00,
154,-6.00e+00,
155,-6.24e+00,
156,-6.08e+00,
157,-6.32e+00,
158,-6.32e+00,
159,-6.08e+00,
160,-6.16e+00,
161,-6.24e+00,
162,-6.16e+00,
163,-6.40e+00,
164,-6.16e+00,
165,-6.40e+00,
166,-6.32e+00,
167,-6.24e+00,
168,-6.32e+00,
169,-6.24e+00,
170,-6.24e+00,
171,-6.40e+00,
172,-6.24e+00,
173,-6.48e+00,
174,-6.40e+00,
175,-6.24e+00,
176,-6.32e+00,
177,-6.40e+00,
178,-6.40e+00,
179,-6.32e+00,
180,-6.40e+00,
181,-6.32e+00,
182,-6.32e+00,
183,-6.56e+00,
184,-6.32e+00,
185,-6.56e+00,
186,-6.56e+00,
187,-6.32e+00,
188,-6.32e+00,
189,-6.56e+00,
190,-6.32e+00,
191,-6.56e+00,
192,-6.48e+00,
193,-6.40e+00,
194,-6.48e+00,
195,-6.40e+00,
196,-6.40e+00,
197,-6.48e+00,
198,-6.48e+00,
199,-6.40e+00,
200,-6.40e+00,
201,-6.48e+00,
202,-6.40e+00,
203,-6.48e+00,
204,-6.40e+00,
205,-6.48e+00,
206,-6.48e+00,
207,-6.40e+00,
208,-6.48e+00,
209,-6.40e+00,
210,-6.48e+00,
211,-6.40e+00,
212,-6.40e+00,
213,-6.64e+00,
214,-6.40e+00,
215,-6.64e+00,
216,-6.64e+00,
217,-6.40e+00,
218,-6.64e+00,
219,-6.40e+00,
220,-6.40e+00,
221,-6.64e+00,
222,-6.40e+00,
223,-6.64e+00,
224,-6.40e+00,
225,-6.64e+00,
226,-6.40e+00,
227,-6.64e+00,
228,-6.40e+00,
229,-6.64e+00,
230,-6.64e+00,
231,-6.40e+00,
232,-6.40e+00,
233,-6.64e+00,
234,-6.64e+00,
235,-6.40e+00,
236,-6.40e+00,
237,-6.64e+00,
238,-6.64e+00,
239,-6.40e+00,
240,-6.40e+00,
241,-6.64e+00,
242,-6.40e+00,
243,-6.64e+00,
244,-6.64e+00,
245,-5.52e+00,
246,-5.60e+00,
247,-4.48e+00,
248,-4.64e+00,
249,-3.52e+00,
250,-3.68e+00,
251,-2.72e+00,
252,-2.80e+00,
253,-1.92e+00,
254,-2.00e+00,
255,-1.20e+00,
256,-1.36e+00,
257,-5.60e-01,
258,-6.40e-01,
